USAToday NBA Salaries 2008-09,,,,,,,,
,,,,,,,,
Last Name,First Name,City,Team,Annual Salary,Contract Yrs,Contract Amt,Contract Thru,Position
   Ridnour, Luke,Milwaukee,Bucks,6500000,3,18000000,2009-10,G
   Roberson, Anthony,New York,Knicks,797581,2,1658968,2009-10,G
   Robinson, Nate,New York,Knicks,2020179,4,5580000,2008-09 (t),G
   Rodriguez , Sergio,Portland,Trail Blazers,1048800,4,4833000,2009-10 (t),G
   Rondo , Rajon,Boston,Celtics,1315080,4,5783000,2009-10 (t),G
   Rose, Malik,New York,Knicks,7647500,7,42000000,2007-08 (p),F
   Rose, Derrick,Chicago,Bulls,4822800,5,31638968,2012-13,G
   Ross, Quinton,Memphis,Grizzlies,797581,4,2800000,2007-08 (t),F-G
   Roy , Brandon,Portland,Trail Blazers,3084240,4,12560000,2009-10 (t),G
   Ruffin, Michael,Chicago,Bulls,1141838,1,770610,2007-08,F-C
   Rush, Kareem,Philadelphia,76ers,998398,1,770610,2007-08,G
   Rush, Brandon,Indiana,Pacers,1799160,5,12848076,2012-13,G
   Salmons, John,Sacramento,Kings,5104000,5,25500000,2010-11,F-G
   Samb, Cheick,Los Angeles,Clippers,711517,1,711517,2008-09,C
   Scalabrine, Brian,Boston,Celtics,3206897,5,15000000,2009-10,F-C
   Scola, Luis,Houston,Rockets,3150000,4,9450000,2010-11,F-C
   Sean, May,Charlotte,Bobcats,2661026,3,5202180,2007-08,F
   Sefolosha , Thabo,Chicago,Bulls,1931160,4,8180000,2009-10 (t),F-G
   Sene , Mouhamed,Oklahoma City,Thunder,2252400,4,9189000,2009-10 (t),C
   Sessions, Ramon,Milwaukee,Bucks,711517,3,1138680,2009-10,G
   Sharpe, Walter,Detroit,Pistons,442114,2,1178534,2009-10,F
   Simmons, Bobby,New Jersey,Nets,9920000,5,47000000,2009-10,F
   Simmons , Cedric,Chicago,Bulls,1742760,4,7559000,2009-10 (t),F
   Sims, Courtney,Phoenix,Suns,41854,1,41854,2008-09,C
   Singletary, Sean,Charlotte,Bobcats,442114,1,442114,2008-09,G
   Singleton, James,Dallas,Mavericks,711517,1,711517,2008-09,F
   Skinner, Brian,Los Angeles,Clippers,1262275,4,20700000,2007-08 (p),F-C
   Smith, Jason,Philadelphia,76ers,1326360,5,7114359,2011-12 (t),F
   Smith, Josh,Atlanta,Hawks,10000000,5,58000000,2012-13,F
   Smith, J.R.,Denver,Nuggets,4985001,3,16500000,2010-11,G
   Smith, Joe,Oklahoma City,Thunder,4795000,2,10000000,2008-09,F
   Smith , Craig,Minnesota,Timberwolves,2500000,2,5000000,2009-10,F
   Snow, Eric,Cleveland,Cavaliers,7312500,4,25600000,2008-09,G
   Solomon, Willie,Toronto,Raptors,711517,1,711517,2008-09,G
   Songaila, Darius,Washington,Wizards,4234000,5,23000000,2010-11,F
   Speights, Marreese,Philadelphia,76ers,1542600,5,11519458,2012-13,F-C
   Stackhouse, Jerry,Dallas,Mavericks,7000000,3,21000000,2009-10,G-F
   Stevenson, DeShawn,Washington,Wizards,3616071,4,16000000,2010-11 (p),G
   Storey, Awvee,Milwaukee,Bucks,826269,1,770610,2007-08,G-F
   Stoudamire, Damon,Memphis,Grizzlies,1630719,4,17000000,2008-09,G
   Stoudemire, Amare,Phoenix,Suns,15070550,3,49134975,2010-11,F-C
   Stuckey, Rodney,Detroit,Pistons,1687320,5,8930403,2011-12 (t),G
   Swift, Stromile,New Jersey,Nets,6200000,4,22400000,2008-09,F-C
   Swift, Robert,Oklahoma City,Thunder,3579131,4,7895000,2007-08 (t),C
   Szczerbiak, Wally,Cleveland,Cavaliers,13275000,6,65000000,2008-09,G-F
   Taylor, Mike,Los Angeles,Clippers,500000,3,2090809,2010-11,G
   Telfair, Sebastian,Minnesota,Timberwolves,2300000,3,7500000,2010-11,G
   Terry, Jason,Dallas,Mavericks,9696000,6,57000000,2011-12,G
   Thomas, Tim,New York,Knicks,6049400,4,24000000,2009-10,F
   Thomas, Kenny,Sacramento,Kings,8562000,7,50000000,2009-10,F
   Thomas, Etan,Washington,Wizards,6864200,2,14218700,2009-10,C
   Thomas, Kurt,San Antonio,Spurs,4200000,2,8000000,2009-10,C-F
   Thomas , Tyrus,Chicago,Bulls,3749880,4,15260000,2009-10 (t),F
   Thompson, Jason,Sacramento,Kings,1893840,5,13238811,2012-13,F
   Thornton, Al,Los Angeles,Clippers,1776240,5,9243267,2011-12 (t),F
   Tinsley, Jamaal,Indiana,Pacers,6750000,6,39000000,2010-11,G
   Tolliver, Anthony,San Antonio,Spurs,187248,1,187248,2008-09,C
   Tucker, Alando,Phoenix,Suns,1001880,5,5907202,2011-12 (t),F
   Turiaf, Ronny,Golden State,Warriors,4500000,4,17000000,2011-12,F
   Turkoglu, Hedo,Orlando,Magic,6864200,6,36770000,2008-09 (p),F
   Udoka, Ime,San Antonio,Spurs,1080000,2,2000000,2008-09,F-G
   Udrih, Beno,Sacramento,Kings,5585000,5,34000000,2012-13,G
   Ukic, Roko,Toronto,Raptors,1250000,3,4000000,2010-11,G
   Varejao, Anderson,Cleveland,Cavaliers,5784480,3,17000000,2009-10 (p),C-F
   Vaughn, Jacque,San Antonio,Spurs,1262275,2,2500000,2008-09,G
   Villanueva, Charlie,Milwaukee,Bucks,3448050,4,11060000,2008-09 (t),F
   Voskuhl, Jake,Toronto,Raptors,835491,2,4000000,2007-08,C
   Vujacic, Sasha,Los Angeles,Angeles,4524887,3,15000000,2010-11,G
   Wade, Dwyane,Miami,Heat,14410581,4,63000000,2010-11 (p),G
   Wafer, Von,Houston,Rockets,797581,1,770610,2007-08,G
   Walker, Bill,Boston,Celtics,542114,4,3049023,2011-12,G-F
   Walker, Antoine,Memphis,Grizzlies,9052460,1,9052460,2008-09,F
   Wallace, Rasheed,Detroit,Pistons,13680000,6,60000000,2008-09,C-F
   Wallace, Gerald,Charlotte,Bobcats,9500000,6,57000000,2012-13 (p),F
   Walton, Luke,Los Angeles,Angeles,4420000,6,30000000,2012-13,F
   Warrick, Hakim,Memphis,Grizzlies,2119102,4,5978000,2008-09 (t),F
   Watson, CJ,Golden State,Warriors,711517,1,251272,2007-08,G
   Watson, Earl,Oklahoma City,Thunder,6200000,5,29000000,2009-10,G
   Weaver, Kyle,Oklahoma City,Thunder,806452,4,3612904,2011-12,G
   Webster, Martell,Portland,Trail Blazers,3771133,4,20000000,2011-12,G-F
   Weems, Sonny,Denver,Nuggets,442114,1,442114,2008-09,G-F
   West, Delonte,Cleveland,Cavaliers,3850000,3,12500000,2010-11,G
   West, Mario,Atlanta,Hawks,711517,1,711517,2008-09,G
   West, David,New Orleans,Hornets,9862000,5,45000000,2011-12,F
   Westbrook, Russell,Oklahoma City,Thunder,3493680,5,23053162,2012-13,G
   White, D.J.,Oklahoma City,Thunder,964080,5,8112118,2012-13,F
   Wilcox, Chris,Oklahoma City,Thunder,6750000,3,24000000,2008-09,C
   Wilkins, Damien,Oklahoma City,Thunder,3100000,5,15000000,2009-10 (p),G-F
   Wilks, Mike,Orlando,Magic,1040000,1,217584,2007-08,G
   Williams, Maurice,Cleveland,Cavaliers,8353000,4,35013000,2011-12,G
   Williams, Jawad,Cleveland,Cavaliers,239311,1,239311,2008-09,F
   Williams, Louis,Philadelphia,76ers,4500000,5,25000000,2012-13,G
   Williams, Marvin,Atlanta,Hawks,5636142,4,18160000,2008-09(t),F
   Williams, Deron,Utah,Jazz,5069449,4,63700000,2011-12,G
   Williams, Sean,New Jersey,Nets,1522920,5,8101928,2011-12 (t),F-C
   Williams , Shawne,Dallas,Mavericks,1572960,4,6827000,2009-10 (t),F
   Williams , Shelden,Sacramento,Kings,3395760,4,13825000,2009-10 (t),F-C
   Williams , Marcus,Golden State,Warriors,1262520,4,5617000,2009-10 (t),G
   Wright, Antoine,Dallas,Mavericks,1800000,2,4000000,2009-10,G-F
   Wright, Lorenzen,Cleveland,Cavaliers,1262475,2,6000000,2007-08,F-C
   Wright, Julian,New Orleans,Hornets,1869600,5,9561453,2011-12 (t),F
   Wright, Brandan,Golden State,Warriors,2497320,5,12072441,2011-12 (t),F
   Wright, Dorell,Miami,Heat,2612835,2,5000000,2009-10,G-F
   Yao, Ming,Houston,Rockets,15070550,3,49134975,2010-11,C
   Young, Thaddeus,Philadelphia,76ers,1968120,5,9896348,2011-12 (t),F
   Young, Nick,Washington,Wizards,1602960,5,8504857,2011-12 (t),G
   Yue, Sun,Los Angeles,Angeles,442114,2,1178534,2009-10,G
Arenas, Gilbert,Washington,Wizards,14653466,6,111000000,2013-14,G
Francis, Steve,Memphis,Grizzlies,18364000,2,5000000,2009-10,G
Iverson, Allen,Detroit,Pistons,20840625,6,90200000,2008-09,G
Kidd, Jason,Dallas,Mavericks,21372000,6,103570000,2008-09,G
O'Neal, Shaquille,Phoenix,Suns,20000000,5,100000000,2009-10,C
