USAToday NBA Salaries 2008-09,,,,,,,,
,,,,,,,,
Last Name,First Name,City,Team,Annual Salary,Contract Yrs,Contract Amt,Contract Thru,Position
   Butler, Caron,Washington,Wizards,9249980,6,48450000,2010-11,F
   Butler, Rasual,New Orleans,Hornets,3630000,4,14000000,2009-10,G-F
   Bynum, Andrew,Los Angeles,Angeles,2769300,4,58000000,2011-12,C
   Bynum, Will,Detroit,Pistons,711517,2,1537014,2009-10,G
   Calderon, Jose,Toronto,Raptors,7348018,5,40000000,2012-13,G
   Camby, Marcus,Los Angeles,Clippers,10000000,6,35100000,2009-10,C-F
   Cardinal, Brian,Minnesota,Timberwolves,6300000,6,36800000,2009-10,F
   Carney , Rodney,Minnesota,Timberwolves,1655760,4,7183000,2009-10 (t),F
   Carroll, Matt,Dallas,Mavericks,5050000,6,27000000,2011-12,G
   Carter, Anthony,Denver,Nuggets,1147533,1,770610,2007-08,G
   Carter, Vince,New Jersey,Nets,14724125,5,78000000,2011-12,G
   Cassell, Sam,Sacramento,Kings,1262275,2,13000000,2007-08,G
   Chalmers, Mario,Miami,Heat,700000,3,2310839,2010-11,G
   Chandler, Wilson,New York,Knicks,1173480,5,6620411,2011-12 (t),F
   Chandler, Tyson,New Orleans,Hornets,11400000,6,64000000,2010-11,C
   Claxton, Speedy,Atlanta,Hawks,5757818,4,25000000,2010-11,G
   Collins, Jarron,Utah,Jazz,2074302,3,7000000,2008-09,C
   Collins, Jason,Minnesota,Timberwolves,6200000,5,25000000,2008-09,C
   Collins , Mardy,Los Angeles,Clippers,1034760,4,4770000,2009-10 (t),G
   Collison, Nick,Oklahoma City,Thunder,6250000,4,26000000,2010-11,F-C
   Conley, Mike,Memphis,Grizzlies,3630480,4,19907543,2011-12,G
   Cook, Brian,Orlando,Magic,3500000,3,10500000,2009-10 (p),F
   Cook, Daequan,Miami,Heat,1273200,5,6946484,2011-12,G
   Crawford, Jamal,Golden State,Warriors,8640000,7,55440000,2009-10 (p),G
   Croshere, Austin,San Antonio,Spurs,601436,1,601436,2008-09,F
   Curry, Eddy,New York,Knicks,9723983,6,60000000,2009-10 (p),C
   Curry, JamesOn,Chicago,Bulls,100000,1,100000,2008-09,G
   Dalembert, Samuel,Philadelphia,76ers,11138564,6,58000000,2010-11,C
   Dampier, Erick,Dallas,Mavericks,11553000,7,73000000,2010-11,C
   Daniels, Marquis,Indiana,Pacers,6864200,6,36750000,2009-10 (t),G
   Daniels, Antonio,New Orleans,Hornets,6200000,5,30000000,2009-10,G
   Davidson, Jermareo,Golden State,Warriors,418539,2,1138680,2008-09,F
   Davis, Glen,Boston,Celtics,711517,3,1138680,2009-10,F
   Davis, Baron,Los Angeles,Clippers,11250000,5,65000000,2012-13,G
   Davis, Ricky,Los Angeles,Clippers,2300000,2,4700000,2009-10,F-G
   Davis , Paul,Los Angeles,Clippers,797581,1,797581,2008-09,C
   Deng, Luol,Chicago,Bulls,9385000,4,81000000,2013-14,F
   Diaw, Boris,Charlotte,Bobcats,9000000,5,45000000,2011-12 (p),F-C
   Diawara , Yakhouba,Miami,Heat,800000,2,1100000,2007-08,F-G
   Diener, Travis,Indiana,Pacers,1620000,3,4900000,2009-10 (p),G
   Diogu, Ike,Portland,Trail Blazers,2912822,4,9325000,2008-09 (t),F
   Diop, DeSagana,Charlotte,Bobcats,5585000,5,34000000,2012-13,C
   Dixon, Juan,Washington,Wizards,998398,3,8000000,2007-08,G
   Dooling, Keyon,New Jersey,Nets,3300000,3,10500000,2010-11,G
   Dorsey, Joey,Memphis,Grizzlies,9000000,3,26250000,2009-10,F
   Dorsey, Joey,Houston,Rockets,816500,4,3657920,2011-12,F
   Douby , Quincy,Sacramento,Kings,1427040,4,6120000,2009-10 (t),G
   Douglas-Roberts, Chris,Philadelphia,76ers,1573000,2,3102873,2008-09,F
   Douglas-Roberts, Chris,New Jersey,Nets,442000,2,1178000,2009-10,G
   Dowell, Dion,Golden State,Warriors,25000,1,25000,2008-09,G
   Dragic, Goran,Phoenix,Suns,1700000,4,7616000,2011-12,G
   Dudley, Jared,Phoenix,Suns,1222320,5,6781706,2010-11 (t),F
   Duhon, Chris,New York,Knicks,5585000,2,12000000,2009-10,G
   Dunleavy, Mike,Indiana,Pacers,9000000,5,45000000,2010-11,F-G
   Durant, Kevin,Oklahoma City,Thunder,4484040,5,21352150,2010-11 (t),F-G
   Elson, Francisco,Oklahoma City,Thunder,1700000,2,6000000,2007-08,C-F
   Ely, Melvin,New Orleans,Hornets,998398,1,895341,2007-08,C-F
   Evans, Reggie,Philadelphia,76ers,4640000,5,23000000,2010-11,F
   Evans, Maurice,Atlanta,Hawks,2500000,3,7500000,2010-11,F-G
   Farmar , Jordan,Los Angeles,Angeles,1080000,4,4976000,2009-10 (t),G
   Farmer, Desmon,San Antonio,Spurs,83708,1,83708,2008-09,G
   Felton, Raymond,Charlotte,Bobcats,4148715,4,13330000,2008-09 (t),G
   Fernandez, Rudy,Portland,Trail Blazers,1047840,5,8568268,2012-13,G-F
   Fesenko, Kyrylo,Utah,Jazz,810000,4,2430000,2010-11 (t),C
   Finley, Michael,San Antonio,Spurs,2500000,2,5000000,2009-10,F-G
   Fisher, Derek,Los Angeles,Angeles,4700000,3,14000000,2009-10,G
   Ford, T.J.,Indiana,Pacers,8275000,4,33000000,2010-11 (p),G
   Foster, Jeff,Indiana,Pacers,5500000,6,30000000,2008-09,C
   Foye , Randy,Minnesota,Timberwolves,2815560,4,11471000,2009-10 (t),G
   Foyle, Adonal,Orlando,Magic,8200000,2,7600000,2009-10,C
   Frye, Channing,Portland,Trail Blazers,3163769,4,10140000,2008-09,F-C
   Gadzuric, Dan,Milwaukee,Bucks,6250195,6,36000000,2010-11,C
   Gallinari, Danilo,New York,Knicks,2873520,5,19047005,2012-13,F
   Garbajosa , Jorge,Toronto,Raptors,4250000,3,12000000,2008-09,F
   Garcia, Francisco,Sacramento,Kings,1983453,5,30000000,2012-13,G-F
   Gardner, Thomas,Atlanta,Hawks,711517,1,711517,2008-09,G
   Garnett, Kevin,Boston,Celtics,24751934,5,100000000,2008-09 (p),F
   Gasol, Pau,Los Angeles,Angeles,15106000,6,86000000,2010-11,F-C
   Gasol, Marc,Memphis,Grizzlies,3093333,3,10000000,2010-11,C
   Gay , Rudy,Memphis,Grizzlies,2579400,4,10541000,2009-10 (t),F
   George, Devean,Dallas,Mavericks,1600000,2,4000000,2009-10,F
   Gibson , Daniel,Cleveland,Cavaliers,3700000,5,20800000,2012-13,G
   Giddens, J.R.,Boston,Celtics,957120,5,8053278,2012-13,G
   Ginobili, Manu,San Antonio,Spurs,9905248,6,52000000,2009-10,G
   Gomes, Ryan,Minnesota,Timberwolves,3500000,5,20500000,2012-13,F
   Gooden, Drew,Chicago,Bulls,7151183,3,23000000,2008-09,F-C
   Gordon, Ben,Chicago,Bulls,6404749,4,15712000,2007-08 (t),G
   Gordon, Eric,Los Angeles,Clippers,2623200,5,17428561,2012-13,G
   Gortat, Marcin,Orlando,Magic,711517,3,1138680,2009-10,F-C
   Graham, Joey,Toronto,Raptors,2449184,4,6930000,2008-09 (t),F
   Graham, Stephen,Indiana,Pacers,826269,1,770610,2007-08,F
   Granger, Danny,Indiana,Pacers,2329805,5,65000000,2012-13,F-G
   Gray, Aaron,Chicago,Bulls,711517,3,1138680,2009-10,C
   Green, Gerald,Dallas,Mavericks,826269,4,6260000,2008-09 (t),G
   Green, Willie,Philadelphia,76ers,3388000,5,17000000,2010-11,G
   Green, Jeff,Oklahoma City,Thunder,3284640,5,15768441,2010-11,F
   Greene, Donte,Sacramento,Kings,971160,5,8151581,2012-13,F
   Greg, Oden,Portland,Trail Blazers,5011680,5,23823601,2011-12 (t),C
   Haddadi, Hamed,Memphis,Grizzlies,1572221,3,4800000,2010-11,C
   Hairston, Malik,San Antonio,Spurs,299077,1,299077,2008-09,G
   Hamilton, Richard,Detroit,Pistons,10812500,3,34000000,2011-12,G
   Harpring, Matt,Utah,Jazz,6000000,4,25000000,2009-10,F
   Harrington, Al,New York,Knicks,9226550,4,35300000,2009-10 (p),F
   Harris, Devin,New Jersey,Nets,7800000,3,12837000,2007-08,G
   Hart, Jason,Los Angeles,Clippers,2484000,2,5000000,2008-09,G
   Haslem, Udonis,Miami,Heat,6575000,5,30700000,2009-10,F-C
