teamold,record,winpercent,seasonstart,seasonend,team
Celtics,49-33,0.598,2001,2002,Celtics
Celtics,36-46,0.439,2000,2001,Celtics
Celtics,35-47,0.427,1999,2000,Celtics
Celtics,19-31,0.38,1998,1999,Celtics
Celtics,36-46,0.439,1997,1998,Celtics
Celtics,15-67,0.183,1996,1997,Celtics
Celtics,33-49,0.402,1995,1996,Celtics
Celtics,35-47,0.427,1994,1995,Celtics
Celtics,32-50,0.39,1993,1994,Celtics
Celtics,48-34,0.585,1992,1993,Celtics
Celtics,51-31,0.622,1991,1992,Celtics
Celtics,56-26,0.683,1990,1991,Celtics
Celtics,52-30,0.634,1989,1990,Celtics
Celtics,42-40,0.512,1988,1989,Celtics
Celtics,57-25,0.695,1987,1988,Celtics
Celtics,59-23,0.72,1986,1987,Celtics
Celtics,67-15,0.817,1985,1986,Celtics
Celtics,63-19,0.768,1984,1985,Celtics
Celtics,62-20,0.756,1983,1984,Celtics
Celtics,56-26,0.683,1982,1983,Celtics
Celtics,63-19,0.768,1981,1982,Celtics
Celtics,62-20,0.756,1980,1981,Celtics
Nets,28-54,0.341,2017,2018,Nets
Nets,20-62,0.244,2016,2017,Nets
Nets,21-61,0.256,2015,2016,Nets
Nets,38-44,0.463,2014,2015,Nets
Nets,44-38,0.537,2013,2014,Nets
Nets,49-33,0.598,2012,2013,Nets
Nets,22-44,0.333,2011,2012,Nets
Nets,24-58,0.293,2010,2011,Nets
Nets,12-70,0.146,2009,2010,Nets
Nets,34-48,0.415,2008,2009,Nets
Nets,34-48,0.415,2007,2008,Nets
Nets,41-41,0.5,2006,2007,Nets
Nets,49-33,0.598,2005,2006,Nets
Nets,42-40,0.512,2004,2005,Nets
Nets,47-35,0.573,2003,2004,Nets
Nets,49-33,0.598,2002,2003,Nets
Nets,52-30,0.634,2001,2002,Nets
Nets,26-56,0.317,2000,2001,Nets
Nets,31-51,0.378,1999,2000,Nets
Nets,16-34,0.32,1998,1999,Nets
Nets,43-39,0.524,1997,1998,Nets
Nets,26-56,0.317,1996,1997,Nets
Nets,30-52,0.366,1995,1996,Nets
Nets,30-52,0.366,1994,1995,Nets
Nets,45-37,0.549,1993,1994,Nets
Nets,43-39,0.524,1992,1993,Nets
Nets,40-42,0.488,1991,1992,Nets
Nets,26-56,0.317,1990,1991,Nets
Nets,17-65,0.207,1989,1990,Nets
Nets,26-56,0.317,1988,1989,Nets
Nets,19-63,0.232,1987,1988,Nets
Nets,24-58,0.293,1986,1987,Nets
Nets,39-43,0.476,1985,1986,Nets
Nets,42-40,0.512,1984,1985,Nets
Nets,45-37,0.549,1983,1984,Nets
Nets,49-33,0.598,1982,1983,Nets
Nets,44-38,0.537,1981,1982,Nets
Nets,24-58,0.293,1980,1981,Nets
Hornets,36-46,0.439,2017,2018,Hornets
Hornets,36-46,0.439,2016,2017,Hornets
Hornets,48-34,0.585,2015,2016,Hornets
Hornets,33-49,0.402,2014,2015,Hornets
Bobcats,43-39,0.524,2013,2014,Hornets
Bobcats,21-61,0.256,2012,2013,Hornets
Bobcats,7-59,0.106,2011,2012,Hornets
Bobcats,34-48,0.415,2010,2011,Hornets
Bobcats,44-38,0.537,2009,2010,Hornets
Bobcats,35-47,0.427,2008,2009,Hornets
Bobcats,32-50,0.39,2007,2008,Hornets
Bobcats,33-49,0.402,2006,2007,Hornets
Bobcats,26-56,0.317,2005,2006,Hornets
Bobcats,18-64,0.22,2004,2005,Hornets
Hornets,44-38,0.537,2001,2002,Hornets
Hornets,46-36,0.561,2000,2001,Hornets
Hornets,49-33,0.598,1999,2000,Hornets
Hornets,26-24,0.52,1998,1999,Hornets
Hornets,51-31,0.622,1997,1998,Hornets
Hornets,54-28,0.659,1996,1997,Hornets
Hornets,41-41,0.5,1995,1996,Hornets
Hornets,50-32,0.61,1994,1995,Hornets
Hornets,41-41,0.5,1993,1994,Hornets
Hornets,44-38,0.537,1992,1993,Hornets
Hornets,31-51,0.378,1991,1992,Hornets
Hornets,26-56,0.317,1990,1991,Hornets
Hornets,19-63,0.232,1989,1990,Hornets
Hornets,20-62,0.244,1988,1989,Hornets
Bulls,27-55,0.329,2017,2018,Bulls
Bulls,41-41,0.5,2016,2017,Bulls
Bulls,42-40,0.512,2015,2016,Bulls
Bulls,50-32,0.61,2014,2015,Bulls
Bulls,48-34,0.585,2013,2014,Bulls
Bulls,45-37,0.549,2012,2013,Bulls
Bulls,50-16,0.758,2011,2012,Bulls
Bulls,62-20,0.756,2010,2011,Bulls
Bulls,41-41,0.5,2009,2010,Bulls
Bulls,41-41,0.5,2008,2009,Bulls
Bulls,33-49,0.402,2007,2008,Bulls
Bulls,49-33,0.598,2006,2007,Bulls
Bulls,41-41,0.5,2005,2006,Bulls
Bulls,47-35,0.573,2004,2005,Bulls
Bulls,23-59,0.28,2003,2004,Bulls
Bulls,30-52,0.366,2002,2003,Bulls
Bulls,21-61,0.256,2001,2002,Bulls
Bulls,15-67,0.183,2000,2001,Bulls
Bulls,17-65,0.207,1999,2000,Bulls
Bulls,13-37,0.26,1998,1999,Bulls
Bulls,62-20,0.756,1997,1998,Bulls
Bulls,69-13,0.841,1996,1997,Bulls
Bulls,72-10,0.878,1995,1996,Bulls
Bulls,47-35,0.573,1994,1995,Bulls
Bulls,55-27,0.671,1993,1994,Bulls
Bulls,57-25,0.695,1992,1993,Bulls
Bulls,67-15,0.817,1991,1992,Bulls
Bulls,61-21,0.744,1990,1991,Bulls
Bulls,55-27,0.671,1989,1990,Bulls
Bulls,47-35,0.573,1988,1989,Bulls
Bulls,50-32,0.61,1987,1988,Bulls
Bulls,40-42,0.488,1986,1987,Bulls
Bulls,30-52,0.366,1985,1986,Bulls
Bulls,38-44,0.463,1984,1985,Bulls
Bulls,27-55,0.329,1983,1984,Bulls
Bulls,28-54,0.341,1982,1983,Bulls
Bulls,34-48,0.415,1981,1982,Bulls
Bulls,45-37,0.549,1980,1981,Bulls
Cavaliers,50-32,0.61,2017,2018,Cavaliers
Cavaliers,51-31,0.622,2016,2017,Cavaliers
Cavaliers,57-25,0.695,2015,2016,Cavaliers
Cavaliers,53-29,0.646,2014,2015,Cavaliers
Cavaliers,33-49,0.402,2013,2014,Cavaliers
Cavaliers,24-58,0.293,2012,2013,Cavaliers
Cavaliers,21-45,0.318,2011,2012,Cavaliers
Cavaliers,19-63,0.232,2010,2011,Cavaliers
Cavaliers,61-21,0.744,2009,2010,Cavaliers
Cavaliers,66-16,0.805,2008,2009,Cavaliers
Cavaliers,45-37,0.549,2007,2008,Cavaliers
Cavaliers,50-32,0.61,2006,2007,Cavaliers
Cavaliers,50-32,0.61,2005,2006,Cavaliers
Cavaliers,42-40,0.512,2004,2005,Cavaliers
Cavaliers,35-47,0.427,2003,2004,Cavaliers
Cavaliers,17-65,0.207,2002,2003,Cavaliers
Cavaliers,29-53,0.354,2001,2002,Cavaliers
Cavaliers,30-52,0.366,2000,2001,Cavaliers
Cavaliers,32-50,0.39,1999,2000,Cavaliers
Cavaliers,22-28,0.44,1998,1999,Cavaliers
Cavaliers,47-35,0.573,1997,1998,Cavaliers
Cavaliers,42-40,0.512,1996,1997,Cavaliers
Cavaliers,47-35,0.573,1995,1996,Cavaliers
Cavaliers,43-39,0.524,1994,1995,Cavaliers
Cavaliers,47-35,0.573,1993,1994,Cavaliers
Cavaliers,54-28,0.659,1992,1993,Cavaliers
Cavaliers,57-25,0.695,1991,1992,Cavaliers
Cavaliers,33-49,0.402,1990,1991,Cavaliers
Cavaliers,42-40,0.512,1989,1990,Cavaliers
Cavaliers,57-25,0.695,1988,1989,Cavaliers
Cavaliers,42-40,0.512,1987,1988,Cavaliers
Cavaliers,31-51,0.378,1986,1987,Cavaliers
Cavaliers,29-53,0.354,1985,1986,Cavaliers
Cavaliers,36-46,0.439,1984,1985,Cavaliers
Cavaliers,28-54,0.341,1983,1984,Cavaliers
Cavaliers,23-59,0.28,1982,1983,Cavaliers
Cavaliers,15-67,0.183,1981,1982,Cavaliers
Mavericks,24-58,0.293,2017,2018,Mavericks
Mavericks,33-49,0.402,2016,2017,Mavericks
Mavericks,42-40,0.512,2015,2016,Mavericks
Mavericks,50-32,0.61,2014,2015,Mavericks
Mavericks,49-33,0.598,2013,2014,Mavericks
Mavericks,41-41,0.5,2012,2013,Mavericks
Mavericks,36-30,0.545,2011,2012,Mavericks
Mavericks,57-25,0.695,2010,2011,Mavericks
Mavericks,55-27,0.671,2009,2010,Mavericks
Mavericks,50-32,0.61,2008,2009,Mavericks
Mavericks,51-31,0.622,2007,2008,Mavericks
Mavericks,67-15,0.817,2006,2007,Mavericks
Mavericks,60-22,0.732,2005,2006,Mavericks
Mavericks,58-24,0.707,2004,2005,Mavericks
Mavericks,52-30,0.634,2003,2004,Mavericks
Mavericks,60-22,0.732,2002,2003,Mavericks
Mavericks,57-25,0.695,2001,2002,Mavericks
Mavericks,53-29,0.646,2000,2001,Mavericks
Mavericks,40-42,0.488,1999,2000,Mavericks
Mavericks,19-31,0.38,1998,1999,Mavericks
Mavericks,20-62,0.244,1997,1998,Mavericks
Mavericks,24-58,0.293,1996,1997,Mavericks
Mavericks,26-56,0.317,1995,1996,Mavericks
Mavericks,36-46,0.439,1994,1995,Mavericks
Mavericks,13-69,0.159,1993,1994,Mavericks
Mavericks,11-71,0.134,1992,1993,Mavericks
Mavericks,22-60,0.268,1991,1992,Mavericks
Mavericks,28-54,0.341,1990,1991,Mavericks
Mavericks,47-35,0.573,1989,1990,Mavericks
